,train,val,test
2460405-B2,True,False,False
2460591-B2,True,False,False
2460641-B2,True,False,False
2460753-B2,True,False,False
2460770-B2,True,False,False
2460949-B3,True,False,False
2460960-B,True,False,False
2460974-B2,True,False,False
2461002-B2,True,False,False
2461677-B2,True,False,False
2461703-B3,True,False,False
2461718-B3,True,False,False
2461857-B2,True,False,False
2461861-B2,True,False,False
2462293-B3,True,False,False
2462478-B2,True,False,False
2462483-B,True,False,False
2462598-B,True,False,False
2462614-B3,True,False,False
2462637-B2,True,False,False
2462830-B2,True,False,False
2462830-B4,True,False,False
2462840-B5,True,False,False
2463126-B2,True,False,False
2463135-B,True,False,False
2463187-B2,True,False,False
2463351-B4,True,False,False
2463370-B2,True,False,False
2463643-B,True,False,False
2463656-B2,True,False,False
2463720-B7,True,False,False
2464404-B5,True,False,False
2464443-B,True,False,False
2464548-B,True,False,False
2464690-B2,True,False,False
2464817-B,True,False,False
2464929-B,True,False,False
2465263-B2,True,False,False
2465367-B3,True,False,False
2465396-B2,True,False,False
2465397-B,True,False,False
2465568-B2,True,False,False
2465625-B,True,False,False
2465636-B,True,False,False
2465643-B3,True,False,False
2465661-B2,True,False,False
2465795-B4,True,False,False
2465827-B5,True,False,False
2465843-B2,True,False,False
2465989-B2,True,False,False
2466152-B2,True,False,False
2466159-B2,True,False,False
2466264-B2,True,False,False
2466580-B5,True,False,False
2466581-B2,True,False,False
2466891-B2,True,False,False
2466898-B2,True,False,False
2466899-B2,True,False,False
2466923-B2,True,False,False
2468321-B2,True,False,False
2468325-B,True,False,False
2468417-B2,True,False,False
2468419-B2,True,False,False
2468419-B3,True,False,False
2468450-B2,True,False,False
2468673-B2,True,False,False
2468698-B2,True,False,False
2469005-B2,True,False,False
2469019-B2,True,False,False
2469024-B,True,False,False
2469029-B2,True,False,False
2469047-B2,True,False,False
2469072-B2,True,False,False
2469074-B2,True,False,False
2469110-B3,True,False,False
2469230-B,True,False,False
2469256-B2,True,False,False
2469260-B3,True,False,False
2469496-B,True,False,False
2469569-B2,True,False,False
2469661-B,True,False,False
2469693-B,True,False,False
2469849-B2,True,False,False
2469927-B2,True,False,False
2469965-B2,True,False,False
2469969-B2,True,False,False
2470270-B2,True,False,False
2470405-B2,True,False,False
2470657-B3,True,False,False
2471072-B2,True,False,False
2471237-B2,True,False,False
2471595-B3,True,False,False
2471885-B2,True,False,False
2471887-B,True,False,False
2471957-B,True,False,False
2471959-B2,True,False,False
2471963-B,True,False,False
2472453-B2,True,False,False
2472465-B2,True,False,False
2472481-B2,True,False,False
2472500-B2,True,False,False
2472505-B,True,False,False
2473218-B2,True,False,False
2473218-B3,True,False,False
2473228-B2,True,False,False
2473266-B,True,False,False
2473366-B2,True,False,False
2473545-B3,True,False,False
2473549-B,True,False,False
2473600-B3,True,False,False
2473608-B2,True,False,False
2473623-B2,True,False,False
2473738-B3,True,False,False
2474124-B2,True,False,False
2474291-B2,True,False,False
2474337-B3,True,False,False
2474500-B2,True,False,False
2474612-B2,True,False,False
2474626-B2,True,False,False
