,train,val,test
2460399-B2,True,False,False
2460404-B3,True,False,False
2460405-B2,True,False,False
2460591-B2,True,False,False
2460602-B,True,False,False
2460643-B,True,False,False
2460960-B,True,False,False
2460974-B2,True,False,False
2461677-B2,True,False,False
2461718-B3,True,False,False
2461857-B2,True,False,False
2461861-B2,True,False,False
2462123-B2,True,False,False
2462170-B4,True,False,False
2462293-B3,True,False,False
2462478-B2,True,False,False
2462483-B,True,False,False
2462598-B,True,False,False
2462830-B2,True,False,False
2462840-B5,True,False,False
2462920-B3,True,False,False
2462921-B,True,False,False
2462987-B2,True,False,False
2463127-B3,True,False,False
2463135-B,True,False,False
2463379-B4,True,False,False
2463404-B2,True,False,False
2463647-B2,True,False,False
2464404-B5,True,False,False
2464438-B5,True,False,False
2464443-B,True,False,False
2464817-B,True,False,False
2464929-B,True,False,False
2464943-B2,True,False,False
2465202-B3,True,False,False
2465243-B2,True,False,False
2465263-B2,True,False,False
2465367-B3,True,False,False
2465396-B2,True,False,False
2465397-B,True,False,False
2465568-B2,True,False,False
2465608-B2,True,False,False
2465625-B,True,False,False
2465636-B,True,False,False
2465639-B2,True,False,False
2465643-B3,True,False,False
2465661-B2,True,False,False
2465989-B2,True,False,False
2466152-B2,True,False,False
2466159-B2,True,False,False
2466264-B2,True,False,False
2466580-B5,True,False,False
2466581-B1,True,False,False
2466581-B2,True,False,False
2466584-B,True,False,False
2466718-B,True,False,False
2466866-B,True,False,False
2466884-B2,True,False,False
2466891-B2,True,False,False
2466898-B2,True,False,False
2466899-B2,True,False,False
2466923-B2,True,False,False
2468321-B2,True,False,False
2468419-B2,True,False,False
2468419-B3,True,False,False
2468673-B2,True,False,False
2468698-B2,True,False,False
2469004-B2,True,False,False
2469005-B2,True,False,False
2469007-B2,True,False,False
2469023-B2,True,False,False
2469023-B4,True,False,False
2469024-B,True,False,False
2469029-B2,True,False,False
2469033-B2,True,False,False
2469047-B2,True,False,False
2469072-B2,True,False,False
2469074-B2,True,False,False
2469230-B,True,False,False
2469260-B3,True,False,False
2469496-B,True,False,False
2469505-B2,True,False,False
2469515-B2,True,False,False
2469569-B2,True,False,False
2469916-B2,True,False,False
2469927-B2,True,False,False
2469969-B2,True,False,False
2470270-B2,True,False,False
2470405-B2,True,False,False
2470657-B3,True,False,False
2471072-B2,True,False,False
2471442-B3,True,False,False
2471452-B2,True,False,False
2471618-B3,True,False,False
2471884-B2,True,False,False
2471957-B,True,False,False
2471959-B2,True,False,False
2471963-B,True,False,False
2472481-B2,True,False,False
2472500-B2,True,False,False
2473212-B4,True,False,False
2473218-B2,True,False,False
2473218-B3,True,False,False
2473272-B3,True,False,False
2473366-B2,True,False,False
2473394-B2,True,False,False
2473534-B2,True,False,False
2473549-B,True,False,False
2473621-B3,True,False,False
2473623-B2,True,False,False
2473738-B3,True,False,False
2474124-B2,True,False,False
2474150-B3,True,False,False
2474188-B2,True,False,False
2474291-B2,True,False,False
2474500-B2,True,False,False
2474631-B3,True,False,False
2474721-B,True,False,False
2474739-B2,True,False,False
2474901-B,True,False,False
2475011-B2,True,False,False
2475022-B,True,False,False
2475126-B2,True,False,False
2475159-B,True,False,False
2476242-B2,True,False,False
2476295-B3,True,False,False
2476358-B2,True,False,False
2476391-B2,True,False,False
2476750-B,True,False,False
2476983-B,True,False,False
2476984-B2,True,False,False
2477039-B,True,False,False
2477058-B2,True,False,False
2477118-B3,True,False,False
2477118-B4,True,False,False
2477274-B3,True,False,False
2477285-B2,True,False,False
2477299-B2,True,False,False
2477473-B2,True,False,False
2477541-B2,True,False,False
2477577-B3,True,False,False
2477670-B2,True,False,False
2477695-B2,True,False,False
2477809-B3,True,False,False
2477814-B5,True,False,False
2477949-B2,True,False,False
2477977-B3,True,False,False
2481723-B2,True,False,False
2481750-B2,True,False,False
2482055-B2,True,False,False
2482056-B4,True,False,False
2482056-B9,True,False,False
2482461-B2,True,False,False
2482886-B2,True,False,False
2482896-B2,True,False,False
2482947-B2,True,False,False
2482956-B,True,False,False
2482964-B2,True,False,False
2482969-B,True,False,False
2482992-B,True,False,False
2483215-B6,True,False,False
2483220-B1,True,False,False
2483363-B3,True,False,False
2483846-B,True,False,False
2483868-B4,True,False,False
2483973-B1,True,False,False
2483993-B2,True,False,False
2484004-B2,True,False,False
2484312-B2,True,False,False
2484734-B4,True,False,False
2484743-B4,True,False,False
2484771-B3,True,False,False
2484883-B2,True,False,False
2485059-B2,True,False,False
2485275-B2,True,False,False
2485322-B2,True,False,False
2485803-B2,True,False,False
2485805-B,True,False,False
2486100-B,True,False,False
2486104-B1,True,False,False
2486191-B,True,False,False
2486197-B2,True,False,False
2486653-B3,True,False,False
2486687-B3,True,False,False
2486845-B2,True,False,False
2486859-B2,True,False,False
2487140-B2,True,False,False
2487143-B,True,False,False
2487146-B2,True,False,False
2487237-B2,True,False,False
2487274-B2,True,False,False
2487376-B2,True,False,False
2487388-B2,True,False,False
2487558-B2,True,False,False
2487656-B4,True,False,False
2487664-B2,True,False,False
2487896-B2,True,False,False
2487935-B2,True,False,False
2488044-B2,True,False,False
2488044-B3,True,False,False
2488050-B3,True,False,False
2488320-B3,True,False,False
2488330-B2,True,False,False
2488369-B2,True,False,False
2488475-B2,True,False,False
2488477-B2,True,False,False
2488767-B,True,False,False
2488769-B2,True,False,False
2488806-B2,True,False,False
2488916-B2,True,False,False
2488932-B4,True,False,False
2489131-B3,True,False,False
2489137-B4,True,False,False
2490526B3,True,False,False
2490547B2,True,False,False
2490750B4,True,False,False
2490820B2,True,False,False
2490820B3,True,False,False
2490837B2,True,False,False
2490860B2,True,False,False
2490964B2,True,False,False
2490978B2,True,False,False
2491131B2,True,False,False
2491191B2,True,False,False
2491191B3,True,False,False
2491226B2,True,False,False
2491275B2,True,False,False
25001929B3,True,False,False
25001966B2,True,False,False
25002073B3,True,False,False
25002238B,True,False,False
25002391B2,True,False,False
25002496B2,True,False,False
25002744B2,True,False,False
25002789B2,True,False,False
25002804B2,True,False,False
25002897B2,True,False,False
25002906B2,True,False,False
25002907B3,True,False,False
25009148B3,True,False,False
25009148B4,True,False,False
25009529B2,True,False,False
25009578B4,True,False,False
25009747B,True,False,False
25009756B2,True,False,False
25012148B3,True,False,False
25012153B2,True,False,False
25012253B3,True,False,False
25012485B2,True,False,False
25012628B2,True,False,False
25012760B2,True,False,False
25012785B2,True,False,False
25012915B2,True,False,False
25012919B9,True,False,False
25013162B2,True,False,False
25013189B2,True,False,False
25013352B2,True,False,False
25013465B2,True,False,False
25013871B6,True,False,False
25013878B2,True,False,False
25014160B2,True,False,False
25014217B2,True,False,False
25014226B2,True,False,False
25014265B2,True,False,False
25014311B2,True,False,False
25015070B2,True,False,False
25015101B2,True,False,False
25015234B2,True,False,False
25015408B3,True,False,False
25015422B,True,False,False
25015488B2,True,False,False
25015495B3,True,False,False
25015607B2,True,False,False
25015622B2,True,False,False
25015625B2,True,False,False
25015811B4,True,False,False
25015820B,True,False,False
25015863B2,True,False,False
25015870B3,True,False,False
25016077B2,True,False,False
25016772B2,True,False,False
25016801B2,True,False,False
25016829B2,True,False,False
25016903B4,True,False,False
25016905B4,True,False,False
25017211B2,True,False,False
25017218B3,True,False,False
25017220B2,True,False,False
25017227B2,True,False,False
25017242B2,True,False,False
25017320B2,True,False,False
25017372B2,True,False,False
25017383B2,True,False,False
25017538B4,True,False,False
25017539B2,True,False,False
25017539B3,True,False,False
25017711B,True,False,False
25017767B2,True,False,False
25017932B2,True,False,False
25017948B3,True,False,False
25018002B2,True,False,False
25018050B2,True,False,False
25018584B,True,False,False
25019081B3,True,False,False
25019283B2,True,False,False
